ref_id,has_citations
REF_2020_0257BG,True
REF_2010_0214DE,True
REF_2010_0187NL,True
REF_2017_0018AT,True
REF_2009_0098IT,True
REF_2018_0366ES,True
REF_2019_0463FR,True
REF_2016_0096ES,True
REF_2009_0306BE,True
REF_2008_0066DE,True
REF_2010_0292DE,True
REF_2011_0186EL,True
REF_2017_0598NL,True
REF_2009_0291BE,True
REF_2013_0367IT,True
REF_2009_0430NL,True
REF_2013_0539UK,True
REF_2014_0050IT,True
REF_2014_0432FR,True
REF_2014_0441DK,True
REF_2015_0161BE,True
REF_2015_0646UK,True
REF_2016_0276IT,True
REF_2017_0300HU,True
REF_2017_0378IE,True
REF_2017_0702IT,True
REF_2017_0712IT,True
REF_2018_0049ES,True
REF_2018_0216IE,True
REF_2018_0446CZ,True
REF_2018_0327IE,True
REF_2019_0003IT,True
REF_2019_0258HU,True
REF_2019_0430RO,True
REF_2019_0677RO,True
REF_2019_0843ES,True
REF_2019_0882ES,True
REF_2020_0118AT,True
REF_2020_0415DE,True
REF_2020_0570FR,True
REF_2021_0036NL,True
REF_2021_0437IT,True
REF_2021_0615HU,True
REF_2021_0726HR,True
REF_2022_0312PT,True
REF_2022_0415BE,True
REF_2011_0027BG,True
REF_2008_0437AT,False
REF_2008_0436AT,False
REF_2009_0001FR,False
REF_2009_0056IT,False
REF_2010_0094DK,False
REF_2010_0427IT,False
REF_2010_0559BE,False
REF_2010_0591UK,False
REF_2011_0176AT,False
REF_2011_0180HU,False
REF_2011_0182IT,False
REF_2011_0183IT,False
REF_2011_0415ES,False
REF_2011_0454LV,False
REF_2011_0539IT,False
REF_2012_0032ES,False
REF_2012_0191HU,False
REF_2012_0271BE,False
REF_2012_0302NL,False
REF_2012_0336DK,False
REF_2012_0457NL,False
REF_2013_0083SE,False
REF_2013_0087NL,False
REF_2013_0129NL,False
REF_2013_0130NL,False
REF_2013_0156DE,False
REF_2013_0163NL,False
REF_2013_0164NL,False
REF_2013_0183PT,False
REF_2013_0201BE,False
REF_2013_0512NL,False
REF_2013_0539UK,False
REF_2013_0552ES,False
REF_2013_0662PT,False
REF_2013_0672HU,False
REF_2014_0256PT,False
REF_2014_0269FI,False
REF_2014_0376IE,False
REF_2015_0168SK,False
REF_2015_0238LU,False
REF_2015_0267NL,False
REF_2015_0379FR,False
REF_2015_0553IT,False
REF_2015_0686HR,False
REF_2015_0690FR,False
REF_2016_0038UK,False
REF_2016_0297RO,False
REF_2016_0298RO,False
REF_2016_0335HR,False
REF_2016_0523IT,False
REF_2016_0536IT,False
REF_2016_0566HU,False
REF_2017_0164IE,False
REF_2017_0245ES,False
REF_2018_0172UK,False
REF_2018_0316UK,False
REF_2018_0410LU,False
REF_2018_0661PT,False
REF_2019_0155IT,False
REF_2019_0156IT,False
REF_2019_0275PT,False
REF_2019_0289NL,False
REF_2020_0294ES,False
REF_2020_0352HU,False
REF_2020_0419DE,False
REF_2020_0427DE,False
REF_2020_0605PT,False
REF_2021_0562NL,False
REF_2022_0246DE,False
REF_2015_0223DE,False
