uoa_referral_id,ground_truth_json
REF_2007_0522DE,"{""REF_2007_0522DE_Q001"": [""31987R2658,annex I body,note 5 point (b)"", ""31987R2658,annex I body,note 5 point (a)""], ""REF_2007_0522DE_Q002"": [""31987R2658,annex I body,note 5 point (b)""], ""REF_2007_0522DE_Q003"": [""31987R2658,annex I,body note 5 point (b)""]}"
REF_2008_0001IT,"{""REF_2008_0001IT_Q001"": [""31977L0388,main,body article 9 paragraph 2 point (e)""]}"
REF_2008_0002IT,"{""REF_2008_0002IT_Q001"": [""62005CJ0119,main,body""]}"
REF_2008_0003BE,"{""REF_2008_0003BE_Q001"": [""31971R1408,main,body article 40 point (3) point (b)"", ""11992E018,main,body article 18""], ""REF_2008_0003BE_Q002"": [""31971R1408,main,body article 40 point (3) point (b)"", ""11992E018,main,body article 18""]}"
REF_2008_0005DK,"{""REF_2008_0005DK_Q001"": [""32001L0029,main,body article 2""], ""REF_2008_0005DK_Q002"": [""32001L0029,main,body article 5 paragraph 1""], ""REF_2008_0005DK_Q003"": [], ""REF_2008_0005DK_Q004"": [], ""REF_2008_0005DK_Q005"": [], ""REF_2008_0005DK_Q006"": [""32001L0029,main,body article 5 paragraph 1""], ""REF_2008_0005DK_Q007"": [], ""REF_2008_0005DK_Q008"": [], ""REF_2008_0005DK_Q009"": [""32001L0029,main,body article 5 paragraph 1""], ""REF_2008_0005DK_Q010"": [""32001L0029,main,body article 5 paragraph 1""], ""REF_2008_0005DK_Q011"": [""32001L0029,main,body article 5 paragraph 1""], ""REF_2008_0005DK_Q012"": [""32001L0029,main,body article 5 paragraph 1""], ""REF_2008_0005DK_Q013"": [""32001L0029,main,body article 5 paragraph 5""]}"
REF_2008_0007NL,"{""REF_2008_0007NL_Q001"": [""31983R0918,main,body article 27"", ""31991R3357,main,body""], ""REF_2008_0007NL_Q002"": []}"
REF_2008_0008NL,"{""REF_2008_0008NL_Q001"": [""12006E081,main,body article 81 paragraph 1""], ""REF_2008_0008NL_Q002"": [""12006E081,main,body article 81""], ""REF_2008_0008NL_Q003"": [""12006E081,main,body article 81""]}"
REF_2008_0012BE,"{""REF_2008_0012BE_Q001"": [""31998L0059,main,body article 6""], ""REF_2008_0012BE_Q002"": [""31998L0059,main,body article 6""], ""REF_2008_0012BE_Q003"": [], ""REF_2008_0012BE_Q004"": [""31998L0059,main,body article 2""], ""REF_2008_0012BE_Q005"": []}"
REF_2008_0013DE,"{""REF_2008_0013DE_Q001"": [""22002A0430(01),annex 1 body,article 15 paragraph 1"", ""22002A0430(01),annex 1 body,article 12 paragraph 1"", ""22002A0430(01),annex 1,body article 13 paragraph 1""]}"
REF_2008_0014ES,"{""REF_2008_0014ES_Q001"": [""32000R1348,main,body""], ""REF_2008_0014ES_Q002"": [""32000R1348,main,body article 61 article 61 point (c)"", ""32000R1348,main,body article 67 article 67 paragraph 1"", ""32000R1348,main,body article 65 article 65"", ""32000R1348,main main,preamblerecital 6""]}"
